Sentence,Sentiment,sentence
"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",positive,"La technologie GeoSolutions tirera parti des solutions GPS de Benefon en fournissant une technologie de recherche basée sur la localisation , une plate-forme communautaire , un contenu multimédia pertinent et un modèle commercial nouveau et puissant ."
"$ESI on lows, down $1.50 to $2.50 BK a real possibility",negative,"$ESI sur les bas, en baisse de 1,50 $ à 2,50 $ BK une possibilité réelle"
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,"Au cours du dernier trimestre de 2010 , les ventes nettes de Componenta ont doublé , passant de 76 millions d' euros à 131 millions d' euros pour la même période un an plus tôt , alors qu' elles sont passées à un bénéfice avant impôt nul provenant d' une perte avant impôt de 7 millions d' euros ."
"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",neutral,"Selon la Chambre de commerce finnoise-russe , toutes les grandes entreprises de construction finlandaises opèrent en Russie ."
"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",neutral,"La société suédoise de rachat a vendu sa participation restante de 22,4 pour cent , près de dix-huit mois après avoir pris la société publique en Finlande ."
$SPY wouldn't be surprised to see a green close,positive,$SPY ne serait pas surpris de voir une fermeture verte
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,negative,Shell's 70 milliards de dollars BG Deal rencontre le scepticisme des actionnaires
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",negative,"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE LIBERATION OCTOBRE 14 , 2008 14:45 La Société met à jour ses perspectives de l'année entière et estime ses résultats à perte pour l'année entière ."
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,positive,Les ventes nettes de Kone ont augmenté d' environ 14 % sur un an au cours des neuf premiers mois de 2008 .
"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",neutral,Le grand magasin Stockmann aura une superficie totale de plus de 8 000 mètres carrés et l'investissement de Stockmann dans le projet aura un prix d'environ 12 millions d'euros.
