Sentence,Sentiment,sentence
"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",positive,"Die GeoSolutions-Technologie wird die GPS-Lösungen von Benefon nutzen , indem sie standortbasierte Suchtechnologien , eine Communitys-Plattform , ortsrelevante Multimedia-Inhalte und ein neues und leistungsfähiges kommerzielles Modell bereitstellt ."
"$ESI on lows, down $1.50 to $2.50 BK a real possibility",negative,"$ESI auf Tiefs, unter $1,50 bis $2,50 BK eine echte Möglichkeit"
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,"Für das letzte Quartal 2010 verdoppelte sich der Nettoumsatz von Componenta im gleichen Zeitraum des Vorjahres auf 131 Mio EUR von 76 Mio EUR , während er aus einem Verlust vor Steuern in Höhe von 7 Mio EUR auf ein Null-Vorsteuerergebnis umgestellt wurde ."
"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",neutral,Nach Angaben der Finnisch-Russischen Handelskammer sind alle großen Bauunternehmen Finnlands in Russland tätig .
"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",neutral,"Die schwedische Buyout-Firma hat ihre restlichen 22,4 Prozent-Beteiligung verkauft , fast achtzehn Monate nach der Übernahme des Unternehmens in Finnland ."
$SPY wouldn't be surprised to see a green close,positive,"$SPY wäre nicht überrascht, ein grünes Ende zu sehen"
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,negative,Shell's $70 Milliarden BG Deal trifft Aktionär Skeptizismus
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",negative,"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OKTOBER 14 , 2008 um 14:45 Uhr Das Unternehmen aktualisiert seinen Gesamtjahresausblick und schätzt seine Ergebnisse für das Gesamtjahr auf Verlust."
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,positive,Der Nettoumsatz von Kone stieg in den ersten neun Monaten 2008 um rund 14 % gegenüber dem Vorjahr .
"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",neutral,Das Kaufhaus Stockmann wird eine Gesamtfläche von über 8.000 Quadratmetern haben und die Investition von Stockmann in das Projekt wird ein Preisschild von rund 12 Millionen Euro haben .
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,Die Auflageeinnahmen sind 2008 in Finnland um 5 % und in Schweden um 4 % gestiegen .
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,negative,$SAP Q1 enttäuscht als #Software-Lizenzen herunter. Echtes Problem? #Cloud-Wachstumspfade $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5
"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",positive,"Die Unterteilung erzielte im vergangenen Jahr Umsatzerlöse von EUR 480,7 Mio . EUR 414,9 Mio . im Jahr 2008 und operatives Ergebnis von EUR 44,5 Mio . EUR 7,4 Mio ."
Viking Line has canceled some services .,neutral,Viking Line hat einige Dienste storniert .
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",neutral,Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 Insgesamt wurden 56.955 neue Aktien der Ahlstrom Corporation mit Optionsrechten im Rahmen der Aktienoptionsprogramme I 2001 und II 2001 gezeichnet .
$FB gone green on day,positive,$FB wurde grün am Tag
$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,positive,$MSFT SQL Server Umsatz wuchs zweistellig mit SQL Server Premium Umsatz steigt über 30% http://stks.co/ir2F
"According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",neutral,"Laut L+ñnnen Tehtaat's CEO Matti Karppinen, das Unternehmen zielt darauf ab, Fischprodukte an seine Kunden einen Tag früher zu liefern, als es derzeit tut."
The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,neutral,Die Aktie des Unternehmens wird auf NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS notiert .
Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,neutral,Elcoteq SE ist an der Nasdaq OMX Helsinki Ltd. notiert.
Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,neutral,"Zwei dieser Verträge sind für Drehscheibe Anode Vibrocompactors, die an Gansu Hualu Aluminium Co Ltd und einen anderen unbenannten Kunden geliefert werden."
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",positive,"Aviva, Friends Life Top-Prognosen vor 5,6 Milliarden Pfund Fusion"
"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",neutral,"Statt auf einem Softdrink basierend zu sein, wie es üblich ist, wird das Teho Energydrink mit frischem Wasser hergestellt."
The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,neutral,"Das Unternehmen plant , das Fachpersonal der Einheit auf mehrere Dutzend zu erhöhen -- abhängig von der Marktsituation im Jahr 2010 ."
