Sentence,Sentiment,sentence
"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",positive,"La tecnología GeoSolutions aprovechará las soluciones GPS de Benefon al proporcionar la tecnología de búsqueda basada en la ubicación , una plataforma de comunidades , la ubicación de contenido multimedia relevante y un nuevo y potente modelo comercial ."
"$ESI on lows, down $1.50 to $2.50 BK a real possibility",negative,"$ESI en mínimos, bajar $1,50 a $2,50 BK una posibilidad real"
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,"En el último trimestre del 2010 , las ventas netas de Componenta se duplicaron hasta situarse en 131 millones de euros frente a los 76 millones de euros del mismo período del año anterior , mientras que pasaron a un beneficio antes de impuestos cero de una pérdida de 7 millones de euros antes de impuestos ."
"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",neutral,"Según la Cámara de Comercio Finlandesa-Rusa , todas las grandes empresas de construcción de Finlandia operan en Rusia ."
"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",neutral,"La empresa sueca de compra ha vendido su participación restante del 22,4% , casi dieciocho meses después de hacer pública la empresa en Finlandia ."
$SPY wouldn't be surprised to see a green close,positive,$SPY no se sorprendería de ver un cierre verde
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,negative,Shell's $70 mil millones BG Deal cumple con el escepticismo de los accionistas
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",negative,SSH COMUNICACIONES SEGURIDAD CORP STOCK INTERCAMBIO DIFUSIÓN 14 DE OCTUBRE DE 2008 A las 2:45 PM La Compañía actualiza sus perspectivas de año completo y estima que sus resultados permanecerán perdidos durante todo el año .
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,positive,Las ventas netas de Kone aumentaron un 14 % interanual en los nueve primeros meses del 2008 .
"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",neutral,Los grandes almacenes Stockmann tendrán una superficie total de más de 8.000 metros cuadrados y la inversión de Stockmann en el proyecto tendrá un precio de alrededor de 12 millones de euros .
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,Los ingresos por circulación han aumentado un 5 % en Finlandia y un 4 % en Suecia en 2008 .
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,negative,$SAP Q1 decepciona como # licencias de software hacia abajo. ¿Problema real? #Cloud crecimiento senderos $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5
"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",positive,"La subdivisión obtuvo ingresos de ventas el año pasado por valor de 480,7 millones de euros , 414,9 millones de euros en 2008 , y beneficios de explotación por valor de 44,5 millones de euros , 7,4 millones de euros ."
Viking Line has canceled some services .,neutral,Viking Line ha cancelado algunos servicios.
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",neutral,ANUNCIO DE INTERCAMBIO DE LA Corporación Ahlstrom 7.2.2007 a las 10.30 Un total de 56.955 nuevas acciones de la Corporación Ahlstrom han sido suscritas con derechos de opción en virtud de los programas de opción de acciones de la compañía I 2001 y II 2001 .
$FB gone green on day,positive,$FB en verde en el día
$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,positive,Los ingresos de $MSFT SQL Server crecieron de dos dígitos con los ingresos de SQL Server Premium creciendo más del 30% http://stks.co/ir2F
"According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",neutral,"De acuerdo con Lnnen Tehtaat 's CEO Matti Karppinen , la empresa se propone entregar productos de pescado a sus clientes un día antes de lo que hace actualmente ."
The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,neutral,La participación de la empresa se cotiza en NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .
Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,neutral,Elcoteq SE figura en el Nasdaq OMX Helsinki Ltd. .
