sentiment,lang,sentence
neutral,es,"El Banco Central Europeo mantuvo las tasas de interés sin cambios en su reunión de marzo, señalando incertidumbre económica."
neutral,fr,"La Banque centrale européenne a maintenu les taux d'intérêt inchangés lors de sa réunion de mars, signalant une incertitude économique."
neutral,de,"Die Europäische Zentralbank hielt die Zinssätze bei ihrer März-Sitzung unverändert und wies auf wirtschaftliche Unsicherheit hin."
neutral,es,"El índice de confianza del consumidor en la eurozona cayó a -14,5 en marzo de 2025, el nivel más bajo en tres meses."
neutral,fr,"L'indice de confiance des consommateurs dans la zone euro est tombé à -14,5 en mars 2025, son niveau le plus bas en trois mois."
neutral,de,"Der Verbrauchervertrauensindex in der Eurozone fiel im März 2025 auf -14,5, den niedrigsten Stand seit drei Monaten."
neutral,es,"El crecimiento del PIB de la eurozona se proyecta en un 0,9% para 2025, según las proyecciones del BCE."
neutral,fr,"La croissance du PIB de la zone euro est projetée à 0,9% pour 2025, selon les projections de la BCE."
neutral,de,"Das BIP-Wachstum der Eurozone wird für 2025 auf 0,9% prognostiziert, laut den Projektionen der EZB."
neutral,es,"El índice STOXX 600 cayó un 5,8% en las operaciones matutinas del 7 de abril de 2025, alcanzando su nivel más bajo en 16 meses."
neutral,fr,"L'indice STOXX 600 a chuté de 5,8% lors des échanges matinaux du 7 avril 2025, atteignant son niveau le plus bas en 16 mois."
neutral,de,"Der STOXX 600 Index fiel am Morgen des 7. April 2025 um 5,8% und erreichte den niedrigsten Stand seit 16 Monaten."
neutral,es,"La Comisión Europea está considerando contramedidas por valor de hasta $28 mil millones en respuesta a los aranceles de EE.UU."
neutral,fr,"La Commission européenne envisage des contre-mesures d'une valeur allant jusqu'à 28 milliards de dollars en réponse aux tarifs américains."
neutral,de,"Die Europäische Kommission erwägt Gegenmaßnahmen im Wert von bis zu 28 Milliarden Dollar als Reaktion auf die US-Zölle."
neutral,es,"El índice de sorpresas económicas de Citigroup para la eurozona alcanzó su nivel más alto desde abril de 2024."
neutral,fr,"L'indice des surprises économiques de Citigroup pour la zone euro a atteint son niveau le plus élevé depuis avril 2024."
neutral,de,"Der Economic Surprise Index von Citigroup für die Eurozone erreichte den höchsten Stand seit April 2024."
neutral,es,"El rendimiento de los bonos del gobierno alemán a 10 años cayó al 0,25% en medio de la incertidumbre del mercado."
neutral,fr,"Le rendement des obligations d'État allemandes à 10 ans est tombé à 0,25% en raison de l'incertitude du marché."
neutral,de,"Die Rendite der 10-jährigen deutschen Staatsanleihen fiel auf 0,25% aufgrund der Marktunsicherheit."
neutral,es,"El índice de precios al consumidor en la eurozona aumentó un 0,3% en marzo de 2025, según Eurostat."
neutral,fr,"L'indice des prix à la consommation dans la zone euro a augmenté de 0,3% en mars 2025, selon Eurostat."
neutral,de,"Der Verbraucherpreisindex in der Eurozone stieg im März 2025 um 0,3%, laut Eurostat."
neutral,es,"El índice de producción industrial en la eurozona disminuyó un 0,2% en febrero de 2025, según datos recientes."
neutral,fr,"L'indice de la production industrielle dans la zone euro a diminué de 0,2% en février 2025, selon les données récentes."
neutral,de,"Der Industrieproduktionsindex in der Eurozone sank im Februar 2025 um 0,2%, laut aktuellen Daten."
neutral,es,"El euro se mantuvo estable frente al dólar, cotizando a 1,10 en el mercado de divisas."
neutral,fr,"L'euro est resté stable face au dollar, s'échangeant à 1,10 sur le marché des changes."
neutral,de,"Der Euro blieb gegenüber dem Dollar stabil und wurde am Devisenmarkt bei 1,10 gehandelt."
neutral,es,"Las ventas minoristas en la eurozona aumentaron un 0,5% en febrero de 2025, según Eurostat."
neutral,fr,"Les ventes au détail dans la zone euro ont augmenté de 0,5% en février 2025, selon Eurostat."
neutral,de,"Die Einzelhandelsumsätze in der Eurozone stiegen im Februar 2025 um 0,5%, laut Eurostat."
neutral,es,"El índice de gestores de compras manufactureras en la eurozona se situó en 51,2 en marzo de 2025."
neutral,fr,"L'indice des directeurs d'achat manufacturiers dans la zone euro s'est établi à 51,2 en mars 2025."
neutral,de,"Der Einkaufsmanagerindex für das verarbeitende Gewerbe in der Eurozone lag im März 2025 bei 51,2."
neutral,es,"La tasa de desempleo en la eurozona se mantuvo en 6,3% en febrero de 2025, según Eurostat."
neutral,fr,"Le taux de chômage dans la zone euro est resté à 6,3% en février 2025, selon Eurostat."
neutral,de,"Die Arbeitslosenquote in der Eurozone blieb im Februar 2025 bei 6,3%, laut Eurostat."
neutral,es,"El índice de precios al productor en la eurozona aumentó un 0,4% en marzo de 2025, según datos oficiales."
neutral,fr,"L'indice des prix à la production dans la zone euro a augmenté de 0,4% en mars 2025, selon les données officielles."
neutral,de,"Der Erzeugerpreisindex in der Eurozone stieg im März 2025 um 0,4%, laut offiziellen Daten."
neutral,es,"El índice de confianza empresarial en Alemania cayó a 95,5 en abril de 2025, según el Instituto Ifo."
neutral,fr,"L'indice de confiance des entreprises en Allemagne est tombé à 95,5 en avril 2025, selon l'institut Ifo."
neutral,de,"Der Geschäftsklimaindex in Deutschland fiel im April 2025 auf 95,5, laut dem Ifo-Institut."
neutral,es,"El índice de confianza del consumidor en Francia se mantuvo estable en 100 en marzo de 2025."
neutral,fr,"L'indice de confiance des consommateurs en France est resté stable à 100 en mars 2025."
neutral,de,"Der Verbrauchervertrauensindex in Frankreich blieb im März 2025 stabil bei"
