sentiment,lang,sentence
positive,es,"Las acciones de Sage Group aumentaron casi un 20% tras anunciar un programa de recompra de acciones de £400 millones."
positive,fr,"Les actions de Sage Group ont augmenté de près de 20% après l'annonce d'un programme de rachat d'actions de 400 millions de livres sterling."
positive,de,"Die Aktien der Sage Group stiegen um fast 20%, nachdem ein Aktienrückkaufprogramm in Höhe von 400 Millionen Pfund angekündigt wurde."
positive,es,"DiscoverIE ha logrado resultados positivos gracias a su estrategia de adquisiciones en serie."
positive,fr,"DiscoverIE a obtenu des résultats positifs grâce à sa stratégie d'acquisitions en série."
positive,de,"DiscoverIE erzielte positive Ergebnisse durch seine Strategie der Serienakquisitionen."
negative,es,"La moral de los inversores de la zona euro cayó drásticamente en abril debido a los nuevos aranceles impuestos por el presidente Trump."
negative,fr,"Le moral des investisseurs de la zone euro a chuté en avril en raison des nouveaux tarifs imposés par le président Trump."
negative,de,"Die Stimmung der Investoren in der Eurozone fiel im April stark aufgrund der neuen Zölle, die von Präsident Trump verhängt wurden."
negative,es,"Los mercados financieros globales experimentaron una gran agitación tras el anuncio de aranceles generalizados por parte del presidente Trump."
negative,fr,"Les marchés financiers mondiaux ont connu une grande agitation après l'annonce par le président Trump de tarifs généralisés."
negative,de,"Die globalen Finanzmärkte erlebten große Turbulenzen nach der Ankündigung umfassender Zölle durch Präsident Trump."
neutral,es,"La Reserva Federal mantuvo las tasas de interés sin cambios en su reunión de marzo, señalando una mayor incertidumbre económica."
neutral,fr,"La Réserve fédérale a maintenu les taux d'intérêt inchangés lors de sa réunion de mars, signalant une incertitude économique accrue."
neutral,de,"Die Federal Reserve hielt die Zinssätze bei ihrer März-Sitzung unverändert und wies auf eine erhöhte wirtschaftliche Unsicherheit hin."
neutral,es,"El índice de volatilidad VIX, conocido como el 'indicador de miedo' de Wall Street, alcanzó su nivel más alto desde agosto."
neutral,fr,"L'indice de volatilité VIX, connu comme le 'baromètre de la peur' de Wall Street, a atteint son niveau le plus élevé depuis août."
neutral,de,"Der Volatilitätsindex VIX, bekannt als Wall Streets 'Angstindikator', erreichte seinen höchsten Stand seit August."
