sentence,sentiment,lang
Las acciones de Sage Group aumentaron casi un 20% tras anunciar un programa de recompra de acciones de £400 millones.,1,es
Les actions de Sage Group ont augmenté de près de 20% après l'annonce d'un programme de rachat d'actions de 400 millions de livres sterling.,1,fr
"Die Aktien der Sage Group stiegen um fast 20%, nachdem ein Aktienrückkaufprogramm in Höhe von 400 Millionen Pfund angekündigt wurde.",1,de
DiscoverIE ha logrado resultados positivos gracias a su estrategia de adquisiciones en serie.,1,es
DiscoverIE a obtenu des résultats positifs grâce à sa stratégie d'acquisitions en série.,1,fr
DiscoverIE erzielte positive Ergebnisse durch seine Strategie der Serienakquisitionen.,1,de
La moral de los inversores de la zona euro cayó drásticamente en abril debido a los nuevos aranceles impuestos por el presidente Trump.,2,es
Le moral des investisseurs de la zone euro a chuté en avril en raison des nouveaux tarifs imposés par le président Trump.,2,fr
"Die Stimmung der Investoren in der Eurozone fiel im April stark aufgrund der neuen Zölle, die von Präsident Trump verhängt wurden.",2,de
Los mercados financieros globales experimentaron una gran agitación tras el anuncio de aranceles generalizados por parte del presidente Trump.,2,es
Les marchés financiers mondiaux ont connu une grande agitation après l'annonce par le président Trump de tarifs généralisés.,2,fr
Die globalen Finanzmärkte erlebten große Turbulenzen nach der Ankündigung umfassender Zölle durch Präsident Trump.,2,de
"La Reserva Federal mantuvo las tasas de interés sin cambios en su reunión de marzo, señalando una mayor incertidumbre económica.",0,es
"La Réserve fédérale a maintenu les taux d'intérêt inchangés lors de sa réunion de mars, signalant une incertitude économique accrue.",0,fr
Die Federal Reserve hielt die Zinssätze bei ihrer März-Sitzung unverändert und wies auf eine erhöhte wirtschaftliche Unsicherheit hin.,0,de
"El índice de volatilidad VIX, conocido como el 'indicador de miedo' de Wall Street, alcanzó su nivel más alto desde agosto.",0,es
"L'indice de volatilité VIX, connu comme le 'baromètre de la peur' de Wall Street, a atteint son niveau le plus élevé depuis août.",0,fr
"Der Volatilitätsindex VIX, bekannt als Wall Streets 'Angstindikator', erreichte seinen höchsten Stand seit August.",0,de
Las acciones bancarias globales cayeron un 8% debido a los temores de recesión tras los nuevos aranceles impuestos por el presidente Trump.,2,es
Les actions bancaires mondiales ont chuté de 8% en raison des craintes de récession après les nouveaux tarifs imposés par le président Trump.,2,fr
Die globalen Bankaktien fielen um 8% aufgrund von Rezessionsängsten nach den neuen Zöllen von Präsident Trump.,2,de
El índice Nasdaq entró en territorio bajista después de una caída del 6% en un solo día.,2,es
Le Nasdaq est entré en territoire baissier après une chute de 6% en une seule journée.,2,fr
Der Nasdaq geriet nach einem Rückgang von 6% an einem einzigen Tag in den Bärenmarkt.,2,de
J.P.Morgan aumentó las probabilidades de una recesión global al 60% debido a las tensiones comerciales.,2,es
