date,title
2025-04-30 07:00:00,"GSK makes strong start to 2025 with growth in sales, profits and earnings - GSK"
2025-05-01 07:00:00,LSEG shareholders revolt over CEO David Schwimmer’s pay - Financial Times
2025-02-26 08:00:00,Growing shareholder value - BP
2024-06-17 07:00:00,Neale Belson - GSK - Board Member - Association of the British Pharmaceutical Industry (ABPI)
2024-10-21 07:00:00,Cambridge and GSK announce new five-year collaboration aiming for improved outcomes for patients with hard-to-treat kidney and respiratory diseases - University of Cambridge
2024-10-08 07:00:00,Game-changing tech to reach the public faster as dedicated new unit launched to curb red tape - GOV.UK
2025-01-23 08:00:00,Transforming connection and collaboration across financial services - LSEG
2025-04-16 07:00:00,The Benefits of Bats: Celebrating the critical contributions of bats on International Bat Appreciation Day - IUCN
2024-06-25 07:00:00,Are bats and wind turbines a viable cocktail at sea? - group.vattenfall.com
2025-02-20 08:00:00,bp launches first dedicated EV charging and convenience hub | News | Home - BP
2025-04-30 07:00:00,GSK turns to AI to offset potential US tariff hit - Financial Times
2025-02-05 08:00:00,GSK delivers strong 2024 performance with further improvement to long-term growth outlook - GSK
2024-11-21 08:00:00,"bp and partners give go-ahead for Tangguh UCC project in Papua Barat, Indonesia | News and insights | Home - BP"
2024-09-17 10:03:57,Internships and placements - GSK
2024-06-20 07:00:00,bp to acquire full ownership of bp Bunge Bioenergia while refocusing plans for new biofuels projects - BP
2024-09-19 16:26:20,Health system sustainability - GSK
2024-09-16 07:00:00,"bp to divest operating US onshore wind business, as it focuses onshore renewables in Lightsource bp - BP"
2024-08-01 07:00:00,bp and Iraq agree to explore redevelopment in Kirkuk | News and insights | Home - BP
2025-04-14 07:00:00,bp announces oil discovery in the Gulf of America | News and insights | Home - BP
2024-12-09 08:00:00,bp and JERA joining forces to create top-tier global offshore wind joint venture | News and insights | Home - BP
2024-05-22 07:00:00,"Joint statement from LSEG, PRI, UN SSE and WBCSD on ISSB standards - PRI"
2024-12-05 08:00:00,FTSE Reshuffle: St James’s Place and Games Workshop Promoted - Morningstar
2024-12-02 08:00:00,Imperial and Rio Tinto launch $150m partnership to support the energy transition - Imperial College London
2025-04-22 07:00:00,Hitting the gas: Three new projects helping to drive a reset bp | News and insights | Home - BP
2024-09-25 18:26:39,FTSE Fixed Income TPI Index Series - LSEG
2024-12-09 08:00:00,"Blenrep shows significant overall survival benefit, reducing the risk of death by 42% in multiple myeloma at or after first relapse - GSK"
2025-03-24 07:00:00,Events planned to celebrate Letham Glen centenary - Fife Council
2025-04-29 07:00:00,BP green energy chief to exit as it retreats from low-carbon investments - The Guardian
2024-02-22 08:00:00,Growing the value of bp | News and insights | Home - BP
2024-10-07 07:00:00,"Exclusive: BP abandons goal to cut oil output, resets strategy - Reuters"
2024-11-26 08:00:00,"Women in executive roles on FTSE 250 boards has fallen since 2022, despite 70% of companies meeting targets - cranfield.ac.uk"
2025-05-13 12:00:30,GSK provides update on belrestotug development programme - GSK
2025-03-11 07:00:00,"Immune response may be harnessed to control HIV, RIO study shows - Imperial College London"
2024-07-31 07:00:00,GSK delivers continued strong performance and upgrades 2024 guidance - GSK
2024-10-31 07:00:00,"The LSEG Dow Jones partnership: Amplifying deals intelligence, news and insights - LSEG"
2024-07-15 07:00:00,IPCEI funding approval paves way for progress at bp’s Lingen green hydrogen project | News and insights | Home - BP
2025-01-02 08:00:00,bp flows first gas at Greater Tortue Ahmeyim LNG project | News and insights | Home - BP
2024-09-03 07:00:00,"‘My cough interferes with everything’: New research could help refractory chronic cough patients after decades of depression, pain, and sleep loss - GSK"
2025-02-24 08:00:00,UK equities − a haven for income and value - LSEG
2024-09-19 07:00:00,Decarbonisation in portfolio benchmarks: Tracking portfolio carbon transition - LSEG
2025-04-17 07:00:00,bp completes loading of first cargo from Greater Tortue Ahmeyim LNG project | News and insights | Home - BP
2025-03-21 07:00:00,Apollo to partner with bp on TANAP gas pipeline | News and insights | Home - BP
2024-10-24 07:00:00,bp completes acquisition of Lightsource bp | News and insights | Home - BP
2025-03-03 13:01:48,Grants and donations - GSK
2025-03-27 07:00:00,bp plans to sell its mobility & convenience business in Austria | News and insights | Home - BP
2025-05-08 08:41:09,bp leads industry taskforce to achieve update to Defence Standard for renewable aviation fuel - BP
2024-10-31 07:00:00,COP29 Net Zero Atlas - LSEG
2024-10-13 07:00:00,‘Very concerning’: BP dilutes net zero targets as global retreat from green standards gathers pace - The Guardian
2025-01-08 08:00:00,GSK nears $1bn deal for biotech developing drug for rare tumour - Financial Times
2025-05-08 07:00:00,BP rivals run the numbers on takeover of struggling oil major - Financial Times
2025-03-07 08:00:00,"JERA and bp announce leadership team of planned 50-50 offshore wind joint venture, JERA Nex bp - BP"
2024-11-17 20:10:11,Asia - Entombed in snow: documenting Japan’s hibernating bats - BBC
2025-02-16 08:00:00,"bp announces start of production from Raven Second Development Phase, offshore Egypt | News and insights | Home - BP"
2024-07-30 07:00:00,"bp gives go-ahead for sixth operated hub, Kaskida, in the US Gulf of Mexico | News and insights | Home - BP"
2024-09-15 07:00:00,'Alarming' decline in horseshoe bats in Devon town - BBC
2025-05-15 22:56:52,Florida executes Glen Rogers for 1995 Hillsborough murder - Tampa Bay Times
2025-04-29 07:00:00,First quarter 2025 results | News and insights | Home - BP
2024-07-03 07:00:00,IFR: the first 50 years - LSEG
2025-05-14 11:53:00,Why is the FTSE 100 beating the FTSE 250 so far this year (and over the past five years)? - AJ Bell
2025-02-24 08:00:00,BP to abandon pledge to cut oil and gas output as chief fights for group’s survival - Financial Times
2025-02-25 08:00:00,UK businesses lead the way with record numbers of female leaders - GOV.UK
2025-03-21 07:00:00,"Reeves scapegoating bats to cut red tape is absurd, says Packham - The Guardian"
2024-09-12 07:00:00,bp and Iberdrola announce final investment decision for largest green hydrogen plant in Spain - BP
2024-07-15 07:00:00,Green light for Aberdeen Hydrogen Hub | News | Home - BP
2025-04-22 07:00:00,Hedge fund Elliott turns up heat on BP with demand for deep spending cuts - Financial Times
2025-02-11 08:00:00,BP profits drop as it says it will reset strategy - BBC
2024-07-09 07:00:00,Investing in the green economy 2024: Growing in a fractured landscape - LSEG
2025-01-27 08:00:00,Oxford and GSK launch £50million immuno-prevention programme to advance novel cancer research - University of Oxford
2024-11-27 08:00:00,Five facts you don’t know about the FTSE China A50 Index - LSEG
2025-03-10 07:00:00,Former Science Minister appointed as innovative regulation Chair to bring game-changing tech like drone medicine deliveries to the public faster - GOV.UK
2024-09-26 07:00:00,Radiographer-led pathway to improve NG tube safety launched - Society of Radiographers
2024-08-06 16:13:00,How the FTSE 100 has fared after big one-day falls - fidelity.co.uk
2024-12-04 08:00:00,Financing the green transition: sustainable bond issuance remains robust - LSEG
2024-07-10 07:00:00,BP raises forecasts for oil and gas demand as clean energy switch slows - Financial Times
2025-01-12 08:00:00,Glen Sannox: Scotland's ferries saga ship to finally set sail - BBC
2024-08-08 07:00:00,bp enters final stage of negotiations with UK Government | News | Home - BP
2024-07-10 07:00:00,Natural gas | Energy economics | Home - BP
2025-02-06 08:00:00,bp Announces Successful Completion of Drilling of “El King-2” Exploration Well | News and insights | Home - BP
2024-07-15 07:00:00,Audi and bp team up with strategic partnership for Formula 1 | News and insights | Home - BP
2025-01-07 08:00:00,FTSE 100 dividend cover decreases as profit and dividend forecasts slip - AJ Bell
2025-02-19 08:00:00,"Rio Tinto: full year profit a little light, robust outlook - Hargreaves Lansdown"
2024-11-01 21:59:10,My First Few Months in Rio | Students - UCL - UCL - London's Global University
2025-03-25 07:00:00,Stock of the Week: Why Are BP Shares Rising? - Morningstar
2024-08-13 07:00:00,bp-NASA agreement to advance US energy production and space exploration - BP
2025-02-06 08:00:00,BP Europa SE to seek potential buyers for Ruhr Oel GmbH – BP Gelsenkirchen | News and insights | Home - BP
2025-04-29 07:00:00,Subsea7 and SLB OneSubsea awarded EPCI contract for bp's Ginger project - Subsea 7
2024-10-10 07:00:00,GSK’s problem is it has more than one source of pain - Financial Times
2025-01-21 08:00:00,Why Has the FTSE 100 Hit a Record High? - Morningstar
2024-09-20 07:00:00,Delayed Glen Sannox ferry sets sail for crucial sea trials - BBC
2025-01-16 08:00:00,"BP to cut 4,700 jobs and 3,000 contractor roles from its global workforce - Sky News"
2025-03-04 08:00:00,Taking the heat out of the US growth stock surge - LSEG
2025-01-08 08:00:00,New electric fast-charging BP station proves a hit - London Borough of Hammersmith & Fulham
2025-05-12 06:58:00,Insider: FTSE 100 chief nets millions from share sale - Interactive Investor
2024-11-07 08:00:00,"Mega deals comeback, but where is the mid-market? - LSEG"
2025-05-16 06:08:08,"FTSE 100 Live 16 May: Index progress continues, LandSec and Future fall on results - London Evening Standard"
2024-06-27 07:00:00,BP imposes hiring freeze and halts new offshore wind projects - The Guardian
2024-10-01 07:00:00,Boosting biofuels | News and insights | Home - BP
2025-03-05 08:00:00,Coca-Cola Europacific Partners joins the FTSE 100 Index - Coca-Cola Europacific Partners
2025-01-10 08:00:00,'Contaminated fuel' at BP Rayleigh garage leads to breakdowns - BBC
2025-02-10 08:00:00,BP: Q4 profits slump with buybacks under review - Hargreaves Lansdown
